title,title_link,likes,pub_points,popularity,description,latest_version,latest_version_release_date,provided_license,is_beta_version,sdk,platform,documentation_link,verified_publisher,dependencies,github_link
get,https://pub.dev/packages/get,14426,150,100,"Open screens/snackbars/dialogs without context, manage states and inject dependencies easily with GetX.",4.6.6,"Sep 8, 2023",MIT,5.0.0-release-candidate-6,FLUTTER,"ANDROID, IOS, LINUX, MACOS, WEB, WINDOWS",https://pub.dev/documentation/get/latest/,getx.site,flutter,https://github.com/jonataslaw/getx
provider,https://pub.dev/packages/provider,10051,160,100,A wrapper around InheritedWidget to make them easier to use and more reusable.,6.1.2,"Feb 28, 2024",MIT,,FLUTTER,"ANDROID, IOS, LINUX, MACOS, WEB, WINDOWS",https://pub.dev/documentation/provider/latest/,dash-overflow.net,"collection,flutter,nested",https://github.com/rrousselGit/provider
shared_preferences,https://pub.dev/packages/shared_preferences,9336,160,100,Flutter plugin for reading and writing simple key-value pairs. Wraps NSUserDefaults on iOS and SharedPreferences on Android.,2.3.0,"Jul 30, 2024",BSD-3-Clause,,FLUTTER,"ANDROID, IOS, LINUX, MACOS, WEB, WINDOWS",https://pub.dev/documentation/shared_preferences/latest/,flutter.dev,"flutter,shared_preferences_android,shared_preferences_foundation,shared_preferences_linux,shared_preferences_platform_interface,shared_preferences_web,shared_preferences_windows",https://github.com/flutter/packages/tree/main/packages/shared_preferences/shared_preferences
flutter_native_splash,https://pub.dev/packages/flutter_native_splash,8026,160,100,"Customize Flutter's default white native splash screen with background color and splash image. Supports dark mode, full screen, and more.",2.4.1,"Jul 7, 2024",MIT,,FLUTTER,"ANDROID, IOS, WEB",https://pub.dev/documentation/flutter_native_splash/latest/,jonhanson.net,"ansicolor,args,flutter,flutter_web_plugins,html,image,meta,path,universal_io,xml,yaml",https://github.com/jonbhanson/flutter_native_splash
http,https://pub.dev/packages/http,7680,160,100,"A composable, multi-platform, Future-based API for HTTP requests.",1.2.2,"Jul 16, 2024",BSD-3-Clause,,"DART, FLUTTER","ANDROID, IOS, LINUX, MACOS, WEB, WINDOWS",https://pub.dev/documentation/http/latest/,dart.dev,"async,http_parser,meta,web",https://github.com/dart-lang/http/tree/master/pkgs/http
url_launcher,https://pub.dev/packages/url_launcher,7354,150,100,"Flutter plugin for launching a URL. Supports web, phone, SMS, and email schemes.",6.3.0,"Jun 3, 2024",BSD-3-Clause,,FLUTTER,"ANDROID, IOS, LINUX, MACOS, WEB, WINDOWS",https://pub.dev/documentation/url_launcher/latest/,flutter.dev,"flutter,url_launcher_android,url_launcher_ios,url_launcher_linux,url_launcher_macos,url_launcher_platform_interface,url_launcher_web,url_launcher_windows",https://github.com/flutter/packages/tree/main/packages/url_launcher/url_launcher
dio,https://pub.dev/packages/dio,7230,160,100,"A powerful HTTP networking package, supports Interceptors, Aborting and canceling a request, Custom adapters, Transformers, etc.",5.5.0+1,"Jul 4, 2024",MIT,,"DART, FLUTTER","ANDROID, IOS, LINUX, MACOS, WEB, WINDOWS",https://pub.dev/documentation/dio/latest/,flutter.cn,"async,dio_web_adapter,http_parser,meta,path",https://github.com/cfug/dio/blob/main/dio
flutter_bloc,https://pub.dev/packages/flutter_bloc,6953,160,100,Flutter Widgets that make it easy to implement the BLoC (Business Logic Component) design pattern. Built to be used with the bloc state management package.,8.1.6,"Jun 11, 2024",MIT,,FLUTTER,"ANDROID, IOS, LINUX, MACOS, WEB, WINDOWS","https://bloclibrary.dev/getting-started,https://pub.dev/documentation/flutter_bloc/latest/",bloclibrary.dev,"bloc,flutter,provider",https://github.com/felangel/bloc/tree/master/packages/flutter_bloc
flutter_launcher_icons,https://pub.dev/packages/flutter_launcher_icons,6923,150,100,A package which simplifies the task of updating your Flutter app's launcher icon.,0.13.1,"Apr 19, 2023",MIT,,"DART, FLUTTER","ANDROID, IOS, LINUX, MACOS, WINDOWS",https://pub.dev/documentation/flutter_launcher_icons/latest/,fluttercommunity.dev,"args,checked_yaml,cli_util,image,json_annotation,path,yaml",https://github.com/fluttercommunity/flutter_launcher_icons/
image_picker,https://pub.dev/packages/image_picker,6845,160,100,"Flutter plugin for selecting images from the Android and iOS image library, and taking new pictures with the camera.",1.1.2,"May 31, 2024","Apache-2.0, BSD-3-Clause",,FLUTTER,"ANDROID, IOS, LINUX, MACOS, WEB, WINDOWS",https://pub.dev/documentation/image_picker/latest/,flutter.dev,"flutter,image_picker_android,image_picker_for_web,image_picker_ios,image_picker_linux,image_picker_macos,image_picker_platform_interface,image_picker_windows",https://github.com/flutter/packages/tree/main/packages/image_picker/image_picker
flutter_local_notifications,https://pub.dev/packages/flutter_local_notifications,6342,145,100,A cross platform plugin for displaying and scheduling local notifications for Flutter applications with the ability to customise for each platform.,17.2.1+2,"Jul 14, 2024",BSD-3-Clause,,FLUTTER,"ANDROID, IOS, LINUX, MACOS",https://pub.dev/documentation/flutter_local_notifications/latest/,dexterx.dev,"clock,flutter,flutter_local_notifications_linux,flutter_local_notifications_platform_interface,timezone",https://github.com/MaikuB/flutter_local_notifications/tree/master/flutter_local_notifications
